gene_name	array_data_file_names	composite_element_ref	antibody_validation_status	antibody_origin	antibody_source_company	catalog_number	protein_function_and_regulatory_pathways	protein_name
NOTCH1	Notch1-R-V_GBL9016774.txt	Notch1-R-V	Validated	Rabbit	CST	3268	A member of transmembrane receptor family that play important roles in development and the determination of cell fate 	Notch1
NRAS	N-Ras-M-V_GBL9016640.txt	N-Ras-M-V	Validated	Mouse	Santa Cruz	sc-31	The three Ras oncogenes, H-Ras, K-Ras and N-Ras, encode proteins with GTP/GDP binding and GTPase activity. Activates MAPK pathway.	N-Ras
	Oxphos-complex-V_subunitb-M-E_GBL9016906.txt	Oxphos-complex-V_subunitb-M-E	Under Evaluation	Mouse				Oxphos-complex-V_subunitb
CDKN1A	p21-R-C_GBL9016784.txt	p21-R-C	Validated	Rabbit	Santa Cruz	SC-397	p21 is a potent, tight-binding inhibitor of Cdks and can inhibit the phosphorylation of Rb by cyclin A-Cdk 2, cyclin E-Cdk2, cyclin D1-Cdk4 and cyclin D2-Cdk4 complexes. Involves in p53 pathway and induces cell cycle arrest.	p21
CDKN1B	p27-R-V_GBL9016755.txt	p27-R-V	Validated	Rabbit	Epitomics	1591-1	Regulates cell cycle arrest at G1 phase	p27
CDKN1B	p27_pT157-R-C_GBL9016751.txt	p27_pT157-R-C	Use with Caution	Rabbit	R&D	AF1555	Regulates cell cycle arrest at G1 phase	p27_pT157
CDKN1B	p27_pT198-R-V_GBL9016753.txt	p27_pT198-R-V	Validated	Rabbit	Abcam	ab64949	Involved in cell cycle arrest at G1 phase.	p27_pT198
MAPK14	p38_MAPK-R-C_GBL9016707.txt	p38_MAPK-R-C	Validated	Rabbit	CST	9212	 A member of MAPKs. MKK3, MKK6, and SEK phosphorylate and activate p38 MAPK	p38_MAPK
MAPK14	p38_pT180_Y182-R-V_GBL9016708.txt	p38_pT180_Y182-R-V	Validated	Rabbit	CST	9211	 A member of MAPKs. MKK3, MKK6, and SEK phosphorylate and activate p38 MAPK	p38_pT180_Y182
TP53	p53-R-V_GBL9016709.txt	p53-R-V	Under Evaluation	Rabbit	CST	9282	Tumor suppressor and Transcription Factor, Regulates cell cycle arrest and apoptosis and DNA repair 	p53
SQSTM1	p62-LCK-ligand-M-E_GBL9016930.txt	p62-LCK-ligand-M-E	Under Evaluation	Mouse	BD Transduction Lab	610833	p62 lck ligand (zeta-interacting protein (ZIP)) is a cytoplasmic protein that binds to the SH2 domain of lck. It interacts with PKC_..	p62-LCK-ligand
RPS6KB1	p70S6K-R-V_GBL9016710.txt	p70S6K-R-V	Validated	Rabbit	Epitomics	1494-1	Mitogen-activated Ser/Thr protein kinase, Involved in PI3K, MAPK and PKC pathways	p70S6K
RPS6KB1	p70S6K_pT389-R-V_GBL9016711.txt	p70S6K_pT389-R-V	Validated	Rabbit	CST	9205	Mitogen-activated Ser/Thr protein kinase, Involved in PI3K, MAPK and PKC pathways	p70S6K_pT389
RPS6KA1	p90RSK-R-C_GBL9016618.txt	p90RSK-R-C	Use with Caution	Rabbit	CST	9347	The 90 kDa ribosomal S6 kinases (RSK1-4) are a family of widely expressed Ser/Thr kinases involving in MAPK and PI3K signaling	p90RSK
RPS6KA1	p90RSK_pT359_S363-R-C_GBL9016742.txt	p90RSK_pT359_S363-R-C	Use with Caution	Rabbit	CST	9344	The 90 kDa ribosomal S6 kinases (RSK1-4) are a family of widely expressed Ser/Thr kinases involving in MAPK and PI3K signaling	p90RSK_pT359_S363
SERPINE1	PAI-1-M-E_GBL9016890.txt	PAI-1-M-E	Under Evaluation	Mouse	BD Biosciences	612024	PAI-1 is a glycoprotein involves in tissue plasminogen activator (tPA) and urokinase PA (uPA) signaling	PAI-1
PARP1	PARP_cleaved-M-C_GBL9016791.txt	PARP_cleaved-M-C	**Used for QC**	Mouse	CST	9546	PARP, a 116 kDa nuclear poly (ADP-ribose) polymerase, appears to be involved in DNA repair in response to environmental stress. This protein can be cleaved by many ICE-like caspases in vitro and is one of the main cleavage targets of caspase-3 in vivo. In human PARP, the cleavage occurs between Asp214 and Gly215, which separates the PARP amino-terminal DNA binding domain (24 kDa) from the carboxy-terminal catalytic domain (89 kDa). PARP helps cells to maintain their viability; cleavage of PARP facilitates cellular disassembly and serves as a marker of cells undergoing apoptosis.	PARP_cleaved
PXN	Paxillin-R-V_GBL9016712.txt	Paxillin-R-V	Use with Caution	Rabbit	Epitomics	1500-1	Involved in actin-membrane attachment, Regulates integrin signaling	Paxillin
CDH3	P-Cadherin-R-C_GBL9016713.txt	P-Cadherin-R-C	Under Evaluation	Rabbit	CST	2130	A member of transmembrane glycoprotein superfamily, Mediate calcium-dependent cell-cell adhesion and normal tissue development. 	P-Cadherin
PCNA	PCNA-M-V_GBL9016792.txt	PCNA-M-V	Use with Caution	Mouse	Abcam	ab29	Involves in DNA repair	PCNA
PDCD4	PDCD4-R-C_GBL9016619.txt	PDCD4-R-C	Use with Caution	Rabbit	Rockland	600-401-965	Pdcd4 directly inhibits the helicase activity of eukaryotic translation initiation factor 4A (eIF4A), a component of the translation initiation complex. Pdcd4 also suppresses the transactivation of activator protein-1 (AP-1)-responsive promoters by c-Jun. Pdcd4 contains two Akt phosphorylation sites, one at Ser67 and the other at Ser457. The phosphorylation of Pdcd4 by Akt causes nuclear translocation of Pdcd4 and a significant decrease in the ability of Pdcd4 to interfere with the transactivation of AP-1-responsive promoters by c-Jun.	PDCD4
PDK1	PDK1-R-V_GBL9016620.txt	PDK1-R-V	Validated	Rabbit	CST	3062	Phosphoinositide-dependent protein kinase 1, involved in PI3K/AKT and PKC signaling	PDK1
PDK1	PDK1_pS241-R-V_GBL9016714.txt	PDK1_pS241-R-V	Validated	Rabbit	CST	3061	Phosphoinositide-dependent protein kinase 1, involved in PI3K/AKT and PKC signaling	PDK1_pS241
PEA15	PEA15-R-V_GBL9016767.txt	PEA15-R-V	Validated	Rabbit	CST	2780	Coordinate cell growth, death, and glucose utilization. Involved in MAPK  signaling	PEA15
PEA15	PEA15_pS116-R-V_GBL9016932.txt	PEA15_pS116-R-V	Validated	Rabbit	Invitrogen	44-836G	Implicated in the regulation of multiple cellular processes including apoptosis, integrin activation, and insulin-sensitive glucose transport in insulin-responsive cells. Its activation mediated through binding to multiple proteins, including ERK1&2, RSK2, Akt, FADD, and Caspase-8.	PEA15_pS116
PIK3CA	PI3K-p110-alpha-R-C_GBL9016749.txt	PI3K-p110-alpha-R-C	Use with Caution	Rabbit	CST	4255	One of the of the catalytic subunit of PI3K	PI3K-p110-alpha
PIK3R1 PIK3R2	PI3K-p85-R-V_GBL9016715.txt	PI3K-p85-R-V	Validated	Rabbit	Upstate (Millipore)	06-195	PI3K p85 regulatory subunit	PI3K-p85
PRKCA	PKC-alpha-M-V_GBL9016793.txt	PKC-alpha-M-V	Validated	Mouse	Upstate (Millipore)	05-154	PKC alpha is an ubiquitously expressed PKC isozyme that has been implicated in the regulation of a broad range of cellular functions 	PKC-alpha
PRKCA	PKC-alpha_pS657-R-V_GBL9016716.txt	PKC-alpha_pS657-R-V	Use with Caution	Rabbit	Upstate (Millipore)	06-822	PKC alpha is an ubiquitously expressed PKC isozyme that has been implicated in the regulation of a broad range of cellular functions 	PKC-alpha_pS657
PRKCD	PKC-delta_pS664-R-V_GBL9016761.txt	PKC-delta_pS664-R-V	Validated	Rabbit	Millipore	07-875	PKC is activated by diacylglycerol which in turn phosphorylates a range of cellular proteins. PKC also serves as the receptor for phorbol esters, a class of tumor promoters.	PKC-delta_pS664
PRKCB	PKC-pan_BetaII_pS660-R-V_GBL9016621.txt	PKC-pan_BetaII_pS660-R-V	Validated	Rabbit	CST	9371	Activation of protein kinase C (PKC) is one of the earliest events in a cascade that controls a variety of cellular responses, including secretion, gene expression, proliferation, and muscle contraction	PKC-pan_BetaII_pS660
	PKM2-R-C_GBL9016900.txt	PKM2-R-C	Use with Caution	Rabbit				PKM2
PGR	PR-R-V_GBL9016810.txt	PR-R-V	Validated	Rabbit	Epitomics	1483-1	Progesterone receptor, Transcription Factor	PR
AKT1S1	PRAS40_pT246-R-V_GBL9016857.txt	PRAS40_pT246-R-V	Validated	Rabbit	Biosource	441100G	PRAS40 is a 14-3-3 binding protein that reacts with insulin. PRAS40 is phosphorylated by AKT	PRAS40_pT246
PRDX1	PRDX1-R-E_GBL9016622.txt	PRDX1-R-E	Under Evaluation	Rabbit	Sigma/Atlas	HPA007730	A member of the peroxiredoxin family of antioxidant enzymes, which reduce hydrogen peroxide and alkyl hydroperoxides. 	PRDX1
PREX1	PREX1-R-E_GBL9016935.txt	PREX1-R-E	Under Evaluation	Rabbit	Abcam	ab102739	Downstream of Heterotrimric G proteins (Guanine nucleotide exchange factor)	PREX1
PTEN	PTEN-R-V_GBL9016719.txt	PTEN-R-V	Validated	Rabbit	CST	9552	A lipid and protein phosphatase, a tumor suppressor, Major negative regulator of PI3K/AKT signaling	PTEN
	PYGB-R-V_GBL9016897.txt	PYGB-R-V	Validated	Rabbit				PYGB
	PYGB-AB2-R-V_GBL9016895.txt	PYGB-AB2-R-V	Validated	Rabbit				PYGB-AB2
	PYGL-R-E_GBL9016896.txt	PYGL-R-E	Under Evaluation	Rabbit				PYGL
	PYGM-M-C_GBL9016903.txt	PYGM-M-C	Use with Caution	Mouse				PYGM
RAB11A RAB11B	Rab11-R-E_GBL9016623.txt	Rab11-R-E	Under Evaluation	Rabbit	CST	3539	Rab11 family posseses small Ras-like GTPase activity. Rab11 family includes Rab11a, Rab11b and Rab25 	Rab11
RAB25	Rab25-R-V_GBL9016635.txt	Rab25-R-V	Validated	Rabbit	CST	4314	A member of Rab11 family posseses small Ras-like GTPase activity.  Increased Rab25 expression is associated with aggressive growth in ovarian and breast cancer, where Rab25 may inhibit apoptosis and promote cancer cell proliferation and invasion through regulation of vesicle transport and cellular motility.	Rab25
RAD50	Rad50-M-C_GBL9016806.txt	Rad50-M-C	Validated	Mouse	Millipore	05-525	Involved in DNA double-strand break repair	Rad50
RAD51	Rad51-M-C_GBL9016814.txt	Rad51-M-C	Under Evaluation	Mouse	Chem Biotech	na 71	Involved in DNA double-strand break repair	Rad51
RPTOR	Raptor-R-V_GBL9016624.txt	Raptor-R-V	Validated	Rabbit	CST	2280	The regulatory associated protein of mTOR (Raptor) was identified as an mTOR binding partner that mediates mTOR signaling to downstream targets. Recently raptor has been identified as a direct substrate of the AMP-activated protein kinase (AMPK). 	Raptor
RB1	Rb-M-V_GBL9016834.txt	Rb-M-V	**Used for QC**	Mouse	CST	9309	The retinoblastoma tumor suppressor protein Rb regulates cell proliferation by controlling progression through the restriction point within the G1-phase of the cell cycle. Rb has three functionally distinct binding domains and interacts with critical regulatory proteins including the E2F family of transcription factors, c-Abl tyrosine kinase, and proteins with a conserved LXCXE motif (2-4). Cell cycle-dependent phosphorylation by a CDK inhibits Rb target binding and allows cell cycle progression. Rb inactivation and subsequent cell cycle progression likely requires an initial phosphorylation by cyclin D-CDK4/6 followed by cyclin E-CDK2 phosphorylation. Specificity of different CDK/cyclin complexes has been observed in vitro and cyclin D1 is required for Ser780 phosphorylation in vivo.	Rb
RBM15	RBM15-R-V_GBL9016625.txt	RBM15-R-V	Validated	Rabbit	SDI / Novus	21390002	RBM15, have repressor function in several signaling pathways	RBM15
RB1	Rb_pS807_S811-R-V_GBL9016821.txt	Rb_pS807_S811-R-V	Validated	Rabbit	CST	9308	The retinoblastoma tumor suppressor protein regulates cell proliferation by controlling progression through the restriction point within the G1-phase of the cell cycle	Rb_pS807_S811
RICTOR	Rictor-R-C_GBL9016626.txt	Rictor-R-C	Use with Caution	Rabbit	CST	2114	Rapamycin-insensitive companion of mTOR mediate rictor-mTOR signaling and phosphorylates Akt/PKB on Ser473 required for the full activation of AKT	Rictor
RICTOR	Rictor_pT1135-R-V_GBL9016627.txt	Rictor_pT1135-R-V	Validated	Rabbit	CST	3806	Rapamycin-insensitive companion of mTOR mediate rictor-mTOR signaling and phosphorylates Akt/PKB on Ser473 required for the full activation of AKT	Rictor_pT1135
RPS6	S6-R-E_GBL9016721.txt	S6-R-E	Under Evaluation	Rabbit	CST	2217	Down stream of PI3K/AKT/mTOR/p70 S6 kinase, Involved in growth factors and mitogens induced protein translation	S6
RPS6	S6_pS235_S236-R-V_GBL9016722.txt	S6_pS235_S236-R-V	Validated	Rabbit	CST	2211	Down stream of PI3K/AKT/mTOR/p70 S6 kinase, Involved in growth factors and mitogens induced protein translation	S6_pS235_S236
RPS6	S6_pS240_S244-R-V_GBL9016723.txt	S6_pS240_S244-R-V	Validated	Rabbit	CST	2215	Down stream of PI3K/AKT/mTOR/p70 S6 kinase, Involved in growth factors and mitogens induced protein translation	S6_pS240_S244
SCD	SCD-M-V_GBL9016643.txt	SCD-M-V	Validated	Mouse	Santa Cruz	sc-58420	Stearoyl-CoA desaturase (SCD) is a microsomal enzyme required for the synthesis of oleate and palmitoleate, which are the major monounsaturated fatty acids of membrane phospholipids, triglycerides and cholesterol esters.	SCD
SETD2	SETD2-R-E_GBL9016768.txt	SETD2-R-E	**Used for QC**	Rabbit	Abcam	ab69836	SETD2 is a Histone methyltransferase that methylates 'Lys-36' of histone H3. H3 'Lys-36' methylation represents a specific tag for epigenetic transcriptional activation. Probably plays a role in chromatin structure modulation during elongation via its interaction with hyperphosphorylated POLR2A. Binds DNA at promoters. May also act as a transcription activator that binds to promoters. Binds to the promoters of adenovirus 12 E1A gene in case of infection, possibly leading to regulate its expression.	SETD2
SRSF1	SF2-M-V_GBL9016641.txt	SF2-M-V	Validated	Mouse	Invitrogen	32-4500	The SF proteins are essential splicing factors and also regulate alternative splicing of many pre-mRNAs.	SF2
SHC1	Shc_pY317-R-E_GBL9016777.txt	Shc_pY317-R-E	Validated	Rabbit	CST	2431	Serves as a scaffold protein in signaling for a variety of receptor tyrosine kinases	Shc_pY317
DIABLO	Smac-M-V_GBL9016795.txt	Smac-M-V	**Used for QC**	Mouse	CST	2954	Smac/Diablo is a 21 kDa mammalian mitochondrial protein that functions as a regulatory component during apoptosis. Upon mitochondrial stress, Smac/Diablo is released from mitochondria and competes with caspases for binding of IAPs (inhibitor of apoptosis proteins). The interaction of Smac/Diablo with IAPs relieves the inhibitory effect of the IAPs on caspases. This interaction involves mainly the amino-terminal residues of Smac/Diablo with the BIR3 region of XIAP, supplemented with several other hydrophobic interactions between the helical structures of Smac/Diablo and other areas of BIR3.	Smac
SMAD1	Smad1-R-V_GBL9016759.txt	Smad1-R-V	Validated	Rabbit	Epitomics	1649-1	Mediates TGF beta signaling	Smad1
SMAD3	Smad3-R-V_GBL9016843.txt	Smad3-R-V	Validated	Rabbit	Epitomics	1735-1	Mediates TGF beta signaling	Smad3
SMAD4	Smad4-M-V_GBL9016841.txt	Smad4-M-V	Validated	Mouse	Santa Cruz	sc-7966	Mediates TGF beta signaling	Smad4
SNAI1	Snail-M-C_GBL9016796.txt	Snail-M-C	**Used for QC**	Mouse	CST	3895	Snail is a zinc-finger transcription factor that can repress E-cadherin transcription. Downregulation of E-cadherin is associated with epithelial-mesenchymal transition during embryonic development, a process also exploited by invasive cancer cells. Indeed, loss of E-cadherin expression is correlated with the invasive properties of some tumors and there is a considerable inverse correlation between Snail and E-cadherin mRNA levels in epithelial tumor cell lines. In addition, Snail blocks the cell cycle and confers resistance to cell death. Phosphorylation of Snail by GSK-3 and PAK1 regulates its stability, cellular localization and function.	Snail
SRC	Src-M-V_GBL9016797.txt	Src-M-V	Validated	Mouse	Upstate (Millipore)	05-184	A member of Src family of protein tyrosine kinases	Src
SRC	Src_pY416-R-C_GBL9016724.txt	Src_pY416-R-C	Use with Caution	Rabbit	CST	2101	A member of Src family of protein tyrosine kinases	Src_pY416
SRC	Src_pY527-R-V_GBL9016725.txt	Src_pY527-R-V	Validated	Rabbit	CST	2105	A member of Src family of protein tyrosine kinases	Src_pY527
STAT3	STAT3_pY705-R-V_GBL9016822.txt	STAT3_pY705-R-V	Validated	Rabbit	CST	9131	Signal transducer and activator of transcription 3 functions both in signal transduction and activation of transcription	STAT3_pY705
STAT5A	STAT5-alpha-R-V_GBL9016729.txt	STAT5-alpha-R-V	Validated	Rabbit	Epitomics	1289-1	Signal transducer and activator of transcription 5 functions both in signal transduction and activation of transcription	STAT5-alpha
STMN1	Stathmin-R-V_GBL9016735.txt	Stathmin-R-V	Validated	Rabbit	Epitomics	1972-1	Ubiquitous cytosolic phosphoprotein	Stathmin
SYK	Syk-M-V_GBL9016836.txt	Syk-M-V	Validated	Mouse	Santa Cruz	sc-1240	One of several members of the protein kinase superfamily involved in PI3K and PLC signaling	Syk
WWTR1	TAZ-R-C_GBL9016743.txt	TAZ-R-C	Validated	Rabbit	CST	2149	Transcriptional co-activator	TAZ
TFRC	TFRC-R-V_GBL9016631.txt	TFRC-R-V	Validated	Rabbit	SDI / Novus	22500002	Transferrin Receptor	TFRC
TIGAR	TIGAR-R-E_GBL9016636.txt	TIGAR-R-E	Under Evaluation	Rabbit	Epitomics	S1711	Regulates p53 tumor suppresor pathway and glycolysis	TIGAR
TGM2	Transglutaminase-M-V_GBL9016933.txt	Transglutaminase-M-V	Validated	Mouse	Lab Vision	MS-224	Transglutaminases catalyze the posttranslational modification of proteins by transamidation of available glutamine residues. Reported to facilitate breast cancer metastasis.	Transglutaminase
TSC1	TSC1-R-C_GBL9016632.txt	TSC1-R-C	Use with Caution	Rabbit	CST	4906	The tumor suppressor genes TSC1 encode hamartin functions as a GTPase-activating protein for the Ras-related small G protein Rheb and thus inhibits targets of rapamycin including mTOR to regulate G1 phase of the cell cycle, steroid hormone regulation, Rho activation and anchoring neuronal intermediate filaments to the actin cytoskeleton. 	TSC1
TSC2	Tuberin-R-C_GBL9016730.txt	Tuberin-R-C	Validated	Rabbit	Epitomics	1613-1	Tuberous sclerosis complex-2 (TSC2 also known as Tuberin) is a tumor suppressor that forms a complex with TSC1 (Hamartin ) and this complex is known to control various cellular functions including cell cycle, endocytosis, adhesion, and transcription. Involved in AKT/mTOR signaling. 	Tuberin
TSC2	Tuberin_pT1462-R-V_GBL9016633.txt	Tuberin_pT1462-R-V	Validated	Rabbit	CST	3617	Tuberin is a product of the TSC2 tumor suppressor gene and an important regulator of cell proliferation and tumor development. Involved in AKT/mTOR signaling. 	Tuberin_pT1462
KDR	VEGFR2-R-V_GBL9016826.txt	VEGFR2-R-V	Validated	Rabbit	CST	2479	A major receptor for VEGF-induced signaling in endothelial cells	VEGFR2
VHL	VHL-M-C_GBL9016642.txt	VHL-M-C	Use with Caution	Mouse	BD Pharmingen	556347	Transfection Factor	VHL
XBP1	XBP1-G-C_GBL9016853.txt	XBP1-G-C	Use with Caution	Goat	Santa Cruz	sc-32136	The X-box binding protein-1 plays a role in regulation of expression of osteoblast-specific genes.	XBP1
XRCC1	XRCC1-R-C_GBL9016758.txt	XRCC1-R-C	Under Evaluation	Rabbit	CST	2735	A DNA repair protein important in both single strand break repair and base excision repair following damage from ionizing radiation and alkylating agents	XRCC1
YAP1	YAP-R-V_GBL9016833.txt	YAP-R-V	Under Evaluation	Rabbit	Santa Cruz	sc-15407	Involved in Src, AKT and MAPK signaling	YAP
YAP1	YAP_pS127-R-C_GBL9016744.txt	YAP_pS127-R-C	Under Evaluation	Rabbit	CST	4911	Involved in Src, AKT and MAPK signaling	YAP_pS127
YBX1	YB-1-R-V_GBL9016866.txt	YB-1-R-V	Validated	Rabbit	SDI	1725.00.02	Belongs to a family of evolutionarily conserved, multifunctional Y-box proteins that bind to DNA and RNA,  function as regulators of transcription, RNA metabolism, and protein synthesis	YB-1
YBX1	YB-1_pS102-R-V_GBL9016750.txt	YB-1_pS102-R-V	Validated	Rabbit	CST	2900	Belongs to a family of evolutionarily conserved, multifunctional Y-box proteins that bind to DNA and RNA,  function as regulators of transcription, RNA metabolism, and protein synthesis	YB-1_pS102
YWHAB	14-3-3_beta-R-V_GBL1115809.txt	14-3-3_beta-R-V	Validated	Rabbit	Santa Cruz	sc-628	14-3-3 proteins regulate many cellular processes relevant to cancer biology, notably apoptosis, mitogenic signaling and cell-cycle checkpoints	14-3-3_beta
YWHAE	14-3-3_epsilon-M-C_GBL1115833.txt	14-3-3_epsilon-M-C	Use with Caution	Mouse	Santa Cruz	sc-23957	14-3-3 proteins regulate many cellular processes relevant to cancer biology, notably apoptosis, mitogenic signaling and cell-cycle checkpoints	14-3-3_epsilon
YWHAZ	14-3-3_zeta-R-V_GBL1115739.txt	14-3-3_zeta-R-V	Validated	Rabbit	Santa Cruz	sc-1019	14-3-3 proteins regulate many cellular processes relevant to cancer biology, notably apoptosis, mitogenic signaling and cell-cycle checkpoints	14-3-3_zeta
EIF4EBP1	4E-BP1-R-V_GBL1115268.txt	4E-BP1-R-V	Validated	Rabbit	CST	9452	Involves in protein translation. Regulated by PI3K/AKT/mTOR pathway	4E-BP1
EIF4EBP1	4E-BP1_pS65-R-V_GBL1115269.txt	4E-BP1_pS65-R-V	Validated	Rabbit	CST	9456	Involves in protein translation. Regulated by PI3K/AKT/mTOR pathway	4E-BP1_pS65
EIF4EBP1	4E-BP1_pT37_T46-R-V_GBL1115270.txt	4E-BP1_pT37_T46-R-V	Validated	Rabbit	CST	9459	Involves in protein translation. Regulated by PI3K/AKT/mTOR pathway	4E-BP1_pT37_T46
EIF4EBP1	4E-BP1_pT70-R-V_GBL1115271.txt	4E-BP1_pT70-R-V	Use with Caution	Rabbit	CST	9455	Involved in protein translation, Regulated my PI3K/AKT/mTOR pathway	4E-BP1_pT70
TP53BP1	53BP1-R-E_GBL1115753.txt	53BP1-R-E	Under Evaluation	Rabbit	CST	4937	Identified as a p53 binding partner that could enhance the transcriptional activity of p53., Also involves in DNA repair signaling	53BP1
ACACA	ACC1-R-E_GBL1115273.txt	ACC1-R-E	Under Evaluation	Rabbit	Epitomics	1768-1	Key enzyme in the biosynthesis and oxidation of fatty acids. Involved in energy homeostasis regulation	ACC1
ACACA ACACB	ACC_pS79-R-V_GBL1115272.txt	ACC_pS79-R-V	Validated	Rabbit	CST	3661	Key enzyme in the biosynthesis and oxidation of fatty acids. Involved in energy homeostasis regulation	ACC_pS79
TUBA1B	Acetyl-a-Tubulin-Lys40-R-C_GBL1115793.txt	Acetyl-a-Tubulin-Lys40-R-C	Under Evaluation	Rabbit	CST	5335	The cytoskeleton consists of three types of cytosolic fibers: microtubules, microfilaments (actin filaments), and intermediate filaments. Acetylation of _-tubulin at Lys40 is required for dynamic cell shape remodeling, cell motility, tubulin stability and terminal branching of cortical neurons	Acetyl-a-Tubulin-Lys40
ACVRL1	ACVRL1-R-C_GBL1115772.txt	ACVRL1-R-C	Use with Caution	Rabbit	Epitomics	2940-1	TNF beta superfamily	ACVRL1
ADAR	ADAR1-M-V_GBL1115855.txt	ADAR1-M-V	Validated	Mouse	Abcam	ab88574	Converts multiple adenosines to inosines and creates I/U mismatched base pairs in double-helical RNA substrates without apparent sequence specificity. It plays a role in RNA editing.	ADAR1
AKT1 AKT2 AKT3	Akt-R-V_GBL1115771.txt	Akt-R-V	Validated	Rabbit	CST	9272	PI3K/AKT/mTOR pathway	Akt
AKT1 AKT2 AKT3	Akt_pS473-R-V_GBL1115671.txt	Akt_pS473-R-V	Validated	Rabbit	CST	9271	PI3K/AKT/mTOR pathway	Akt_pS473
AKT1 AKT2 AKT3	Akt_pT308-R-V_GBL1115790.txt	Akt_pT308-R-V	Validated	Rabbit	CST	9275	PI3K/AKT/mTOR pathway	Akt_pT308
CTNNA1	alpha-Catenin-M-V_GBL1115835.txt	alpha-Catenin-M-V	Validated	Mouse	Calbiochem	CA1030	Discontinued	alpha-Catenin
PRKAA1	AMPK_alpha-R-C_GBL1115274.txt	AMPK_alpha-R-C	Use with Caution	Rabbit	CST	2532	Involved in energy homeostasis regulation	AMPK_alpha
PRKAA1	AMPK_pT172-R-V_GBL1115275.txt	AMPK_pT172-R-V	Validated	Rabbit	CST	2535	Involved in energy homeostasis regulation	AMPK_pT172
ANXA1	Annexin-1-M-E_GBL1115847.txt	Annexin-1-M-E	Under Evaluation	Mouse	BD Transduction	610066	Apoptosis	Annexin-1
ANXA7	Annexin_VII-M-V_GBL1115841.txt	Annexin_VII-M-V	Validated	Mouse	BD Biosciences	610668	Apoptosis	Annexin_VII
AR	AR-R-V_GBL1115808.txt	AR-R-V	Validated	Rabbit	Epitomics	1852-1	Androgen receptor (AR). Transcription Factor	AR
ARAF	A-Raf_pS299-R-C_GBL1115759.txt	A-Raf_pS299-R-C	Use with Caution	Rabbit	CST	4431	One of the main effectors recruited by GTP-bound Ras to activate the MEK-MAP kinase pathway 	A-Raf_pS299
DIRAS3	ARHI-M-E_GBL1115848.txt	ARHI-M-E	Under Evaluation	Mouse	Dr. Robert C Bast Jr.	Customer made	A member of the ras superfamily, Expressed in normal ovarian and breast epithelial cells, but not in ovarian and breast cancers.	ARHI
ASNS	ASNS-R-V_GBL1115803.txt	ASNS-R-V	Validated	Rabbit	Sigma	HPA029318	The protein encoded by ASNS gene is involved in the synthesis of asparagine. 	ASNS
ATM	ATM-R-E_GBL1115276.txt	ATM-R-E	Under Evaluation	Rabbit	Abcam	ab32420	Serine/threonine protein kinase which activates checkpoint signaling upon double strand breaks (DSBs), apoptosis and genotoxic stresses such as ionizing ultraviolet A light (UVA), thereby acting as a DNA damage sensor. 	ATM
BAD	Bad_pS112-R-V_GBL1115806.txt	Bad_pS112-R-V	Validated	Rabbit	CST	9291	Bcl-2 interacting mediator of cell death, pro-apoptotic protein 	Bad_pS112
BAK1	Bak-R-C_GBL1115278.txt	Bak-R-C	Under Evaluation	Rabbit	Epitomics	1542-1	Bcl-2 interacting mediator of cell death, pro-apoptotic protein 	Bak
BAP1	Bap1-c-4-M-E_GBL1115846.txt	Bap1-c-4-M-E	Ender Evaluation	Rabbit	Alomine	APC-125	BAP1 is a tumor suppressor that requires deubiquitinating activity and nuclear localization	Bap1-c-4
BAX	Bax-R-V_GBL1115279.txt	Bax-R-V	Validated	Rabbit	CST	2772	Bcl-2 interacting mediator of cell death, pro-apoptotic protein 	Bax
BCL2	Bcl-2-M-V_GBL1115811.txt	Bcl-2-M-V	Validated	Mouse	Dako	Dako M0887	Anti-apoptotic protein, Oncoprotein	Bcl-2
BCL2L1	Bcl-xL-R-V_GBL1115281.txt	Bcl-xL-R-V	Validated	Rabbit	CST	2762	Bcl-2 interacting mediator of cell death, anti-apoptotic protein 	Bcl-xL
BECN1	Beclin-G-C_GBL1115804.txt	Beclin-G-C	Use with Caution	Goat	Santa Cruz	sc-10086	BECN1 (Beclin 1) is a coiled-coil protein that has been implicated as an inhibitor of tumorigenesis. BECN1, which associates with Bcl-2, plays a significant role in autophagy.	Beclin
CTNNB1	beta-Catenin-R-V_GBL1115280.txt	beta-Catenin-R-V	Validated	Rabbit	CST	9562	Downstream effector in the Wnt signaling pathway	beta-Catenin
BID	Bid-R-C_GBL1115656.txt	Bid-R-C	Use with Caution	Rabbit	Epitomics	1008-1	Bcl-2 interacting mediator of cell death, pro-apoptotic protein belonging to the BH3-interaction protein	Bid
BCL2L11	Bim-R-V_GBL1115657.txt	Bim-R-V	Validated	Rabbit	Epitomics	1036-1	Bcl-2 interacting mediator of cell death, pro-apoptotic protein belonging to the BH3-interaction protein	Bim
BRAF	B-Raf-M-C_GBL1115812.txt	B-Raf-M-C	Use with Caution	Mouse	Santa Cruz	sc-5284	One of the main effectors recruited by GTP-bound Ras to activate the MEK-MAP kinase pathway 	B-Raf
CASP7	Caspase-7_cleavedD198-R-C_GBL1115658.txt	Caspase-7_cleavedD198-R-C	Use with Caution	Rabbit	CST	9491	A major contributor to the execution of apoptosis	Caspase-7_cleavedD198
